Time_Ma,Depth_mbrt
3.085223898,530.2
3.086394014,530.3
3.08756413,530.4
3.088734245,530.5
3.089904361,530.6
3.091074477,530.7
3.092244593,530.8
3.093414709,530.9
3.094584825,531
3.09575494,531.1
3.096925056,531.2
3.098095172,531.3
3.099265288,531.4
3.100435404,531.5
3.10160552,531.6
3.102775635,531.7
3.103945751,531.8
3.105115867,531.9
3.106285983,532
3.107456099,532.1
3.108626215,532.2
3.10979633,532.3
3.110966446,532.4
3.112136562,532.5
3.113306678,532.6
3.114476794,532.7
3.115646909,532.8
3.116817025,532.9
3.117987141,533
3.119157257,533.1
3.120327373,533.2
3.121497489,533.3
3.122667604,533.4
3.12383772,533.5
3.125007836,533.6
3.126177952,533.7
3.127348068,533.8
3.128518184,533.9
3.129688299,534
3.130858415,534.1
3.132028531,534.2
3.133198647,534.3
3.134368763,534.4
3.135538879,534.5
3.136708994,534.6
3.13787911,534.7
3.139049226,534.8
3.140219342,534.9
3.141389458,535
3.142559573,535.1
3.143729689,535.2
3.144899805,535.3
3.146069921,535.4
3.147240037,535.5
3.148410153,535.6
3.149580268,535.7
3.150750384,535.8
3.1519205,535.9
3.153090616,536
3.154260732,536.1
3.155430848,536.2
3.156600963,536.3
3.157771079,536.4
3.158941195,536.5
3.160111311,536.6
3.161281427,536.7
3.162451543,536.8
3.163621658,536.9
3.164791774,537
3.16596189,537.1
3.167132006,537.2
3.168302122,537.3
3.169472237,537.4
3.170642353,537.5
3.171812469,537.6
3.172982585,537.7
3.174152701,537.8
3.175322817,537.9
3.176492932,538
3.177663048,538.1
3.178833164,538.2
3.18000328,538.3
3.181173396,538.4
3.182343512,538.5
3.183513627,538.6
3.184683743,538.7
3.185853859,538.8
3.187023975,538.9
3.188194091,539
3.189364206,539.1
3.190534322,539.2
3.191704438,539.3
3.192874554,539.4
3.19404467,539.5
3.195214786,539.6
3.196384901,539.7
3.197555017,539.8
3.198725133,539.9
3.199895249,540
3.201065365,540.1
3.202235481,540.2
3.203405596,540.3
3.204575712,540.4
3.205745828,540.5
3.206915944,540.6
3.20808606,540.7
3.209256176,540.8
3.210426291,540.9
3.211596407,541
3.212766523,541.1
3.213936639,541.2
3.215106755,541.3
3.21627687,541.4
3.217446986,541.5
3.218617102,541.6
3.219787218,541.7
3.220957334,541.8
3.22212745,541.9
3.223297565,542
3.224467681,542.1
3.225637797,542.2
3.226807913,542.3
3.227978029,542.4
3.229148145,542.5
3.23031826,542.6
3.231488376,542.7
3.232658492,542.8
3.233828608,542.9
3.234998724,543
3.23616884,543.1
3.237338955,543.2
3.238509071,543.3
3.239679187,543.4
3.240849303,543.5
3.242019419,543.6
3.243189534,543.7
3.24435965,543.8
3.245529766,543.9
3.246699882,544
3.247869998,544.1
3.249040114,544.2
3.250210229,544.3
3.251380345,544.4
3.252550461,544.5
3.253720577,544.6
3.254890693,544.7
3.256060809,544.8
3.257230924,544.9
3.25840104,545
3.259571156,545.1
3.260741272,545.2
3.261911388,545.3
3.263081504,545.4
3.264251619,545.5
3.265421735,545.6
3.266591851,545.7
3.267761967,545.8
3.268932083,545.9
3.270102198,546
3.271272314,546.1
3.27244243,546.2
3.273612546,546.3
3.274782662,546.4
3.275952778,546.5
3.277122893,546.6
3.278293009,546.7
3.279463125,546.8
3.280633241,546.9
3.281803357,547
3.282973473,547.1
3.284143588,547.2
3.285313704,547.3
3.28648382,547.4
3.287653936,547.5
3.288824052,547.6
3.289994168,547.7
3.291164283,547.8
3.292334399,547.9
3.293504515,548
3.294674631,548.1
3.296890517,548.2
3.299509199,548.3
3.302127882,548.4
3.304746565,548.5
3.307365248,548.6
3.309983931,548.7
3.312602613,548.8
3.315221296,548.9
3.317839979,549
3.320458662,549.1
3.323077345,549.2
3.325696027,549.3
3.32831471,549.4
3.330933393,549.5
3.333552076,549.6
3.336170758,549.7
3.338789441,549.8
3.341408124,549.9
3.344026807,550
3.34664549,550.1
3.349264172,550.2
3.351882855,550.3
3.354501538,550.4
3.357120221,550.5
3.359738904,550.6
3.362357586,550.7
3.364976269,550.8
3.367594952,550.9
3.370213635,551
3.372832317,551.1
3.375451,551.2
3.378069683,551.3
3.380688366,551.4
3.383307049,551.5
3.385925731,551.6
3.388544414,551.7
3.391163097,551.8
3.39378178,551.9
3.396400463,552
3.399019145,552.1
3.401637828,552.2
3.404256511,552.3
3.406875194,552.4
3.409493877,552.5
3.412112559,552.6
3.414731242,552.7
3.417349925,552.8
3.419968608,552.9
3.42258729,553
3.425205973,553.1
3.427824656,553.2
3.430443339,553.3
3.433062022,553.4
3.435680704,553.5
3.438299387,553.6
3.44091807,553.7
3.443536753,553.8
3.446155436,553.9
3.448774118,554
3.451392801,554.1
3.454011484,554.2
3.456630167,554.3
3.459248849,554.4
3.461867532,554.5
3.464486215,554.6
3.467104898,554.7
3.469723581,554.8
3.472342263,554.9
3.474960946,555
3.477579629,555.1
3.480198312,555.2
3.482816995,555.3
3.485435677,555.4
3.48805436,555.5
3.490673043,555.6
3.493291726,555.7
3.495910409,555.8
3.498529091,555.9
3.501147774,556
3.503766457,556.1
3.50638514,556.2
3.509003822,556.3
3.511622505,556.4
3.514241188,556.5
3.516859871,556.6
3.519478554,556.7
3.522097236,556.8
3.524715919,556.9
3.527334602,557
3.529953285,557.1
3.532571968,557.2
3.53519065,557.3
3.537809333,557.4
3.540428016,557.5
3.543046699,557.6
3.545665381,557.7
3.548284064,557.8
3.550902747,557.9
3.55352143,558
3.556140113,558.1
3.558758795,558.2
3.561377478,558.3
3.563996161,558.4
3.566614844,558.5
3.569233527,558.6
3.571852209,558.7
3.574470892,558.8
3.577089575,558.9
3.579708258,559
3.582326941,559.1
3.584945623,559.2
3.587564306,559.3
3.590182989,559.4
3.592801672,559.5
3.595420354,559.6
3.598039037,559.7
3.60065772,559.8
3.603276403,559.9
