Time_Ma,GR_gAPI
3.78,48.50300916
3.781,47.45914415
3.782,46.47740075
3.783,45.61418401
3.784,44.87290731
3.785,44.2541262
3.786,43.73640934
3.787,43.2120216
3.788,42.6462547
3.789,42.03911299
3.79,41.43060628
3.791,40.83849169
3.792,40.26447279
3.793,39.73104024
3.794,39.28333966
3.795,38.92698728
3.796,38.66197707
3.797,38.58213127
3.798,38.64662724
3.799,38.70984427
3.8,38.71749744
3.801,38.61883545
3.802,38.41507578
3.803,38.12475588
3.804,37.79001222
3.805,37.41084801
3.806,36.99005578
3.807,36.54292124
3.808,36.10977202
3.809,35.83771912
3.81,35.69528425
3.811,35.63651222
3.812,35.66139399
3.813,35.72329013
3.814,35.70817009
3.815,35.60653475
3.816,35.42852888
3.817,35.19411821
3.818,34.9062737
3.819,34.56748577
3.82,34.24993955
3.821,34.04233489
3.822,33.94520383
3.823,34.00862806
3.824,34.32097447
3.825,34.81556244
3.826,35.39590186
3.827,36.00536968
3.828,36.60755927
3.829,37.20247112
3.83,37.75530368
3.831,38.22874221
3.832,38.61366745
3.833,38.92131455
3.834,39.14779759
3.835,39.28964681
3.836,39.34687126
3.837,39.36795175
3.838,39.38930425
3.839,39.41667564
3.84,39.39898275
3.841,39.29887013
3.842,39.11174623
3.843,38.8531279
3.844,38.63933414
3.845,38.48120733
3.846,38.37875669
3.847,38.39300782
3.848,38.54300831
3.849,38.82955752
3.85,39.27987842
3.851,39.93155702
3.852,40.78457201
3.853,41.82121106
3.854,42.92536507
3.855,44.08569445
3.856,45.29503123
3.857,46.50758854
3.858,47.66439483
3.859,48.76545733
3.86,49.77385483
3.861,50.58256984
3.862,51.16994332
3.863,51.55404155
3.864,51.80094428
3.865,51.96558061
3.866,52.04981032
3.867,52.06601212
3.868,52.02711884
3.869,51.93234689
3.87,51.74212703
3.871,51.37577099
3.872,50.79565667
3.873,50.00965708
3.874,49.10115159
3.875,48.13215179
3.876,47.10266391
3.877,46.1136073
3.878,45.27016315
3.879,44.59630971
3.88,44.06181402
3.881,43.57788588
3.882,43.11151029
3.883,42.66268551
3.884,42.28050811
