Age_Ma,GR_gAPI
3.494,42.93565517
3.495,43.11081424
3.496,43.21641635
3.497,43.20445469
3.498,43.0555802
3.499,42.78243293
3.5,42.46280102
3.501,42.14238313
3.502,41.8211788
3.503,41.63044464
3.504,41.45798099
3.505,41.29621285
3.506,41.14745672
3.507,41.07942848
3.508,41.11501778
3.509,41.13865562
3.51,41.08785558
3.511,40.99032728
3.512,40.81597165
3.513,40.52758729
3.514,40.16382435
3.515,39.74543217
3.516,39.39229916
3.517,39.03371215
3.518,38.66967115
3.519,38.43645258
3.52,38.21333901
3.521,37.99356081
3.522,37.75377322
3.523,37.48256623
3.524,37.17915738
3.525,36.81453686
3.526,36.47633647
3.527,36.26068497
3.528,36.15778377
3.529,36.17471621
3.53,36.36954668
3.531,36.74073092
3.532,37.25131377
3.533,37.76877328
3.534,38.2931086
3.535,38.91958519
3.536,39.52595227
3.537,40.10165536
3.538,40.45810109
3.539,40.54117305
3.54,40.78190654
3.541,41.11748547
3.542,41.49683289
3.543,41.94787108
3.544,42.50376778
3.545,43.29085538
3.546,44.3321077
3.547,45.62668153
3.548,46.79191274
3.549,47.84400088
3.55,48.7829611
3.551,49.59724078
3.552,50.18834549
3.553,50.54227388
3.554,50.66622887
3.555,50.75448505
3.556,50.88454676
3.557,50.68523845
3.558,50.31973831
3.559,49.86815185
3.56,49.33510299
3.561,48.72429591
3.562,47.91917176
3.563,46.91975658
3.564,45.61499853
3.565,44.37453791
3.566,43.19837484
3.567,42.08287586
3.568,41.03770788
3.569,40.06611292
3.57,39.24146153
3.571,38.6543823
3.572,38.29919481
3.573,38.17535431
3.574,38.2300373
3.575,38.36288591
3.576,38.57389387
3.577,38.73326784
3.578,38.79987132
3.579,38.77371531
3.58,38.70207891
3.581,38.71397488
3.582,38.82393822
3.583,38.96002124
3.584,39.05388344
3.585,39.10742999
3.586,39.17223196
3.587,39.31842636
3.588,39.4481845
3.589,39.56398959
3.59,39.75392399
3.591,40.02004475
3.592,40.36234236
3.593,40.72090057
3.594,41.2048981
3.595,41.81858888
3.596,42.57365402
3.597,43.43239621
3.598,44.37767544
3.599,45.36112407
3.6,46.34634837
3.601,47.40531137
3.602,48.53198749
3.603,49.59032385
3.604,50.43679868
3.605,51.07143779
3.606,51.60439563
3.607,51.9723695
3.608,52.17537366
3.609,52.1976375
3.61,52.08754479
3.611,51.86110852
3.612,51.47528967
3.613,50.83155107
3.614,49.92033959
3.615,48.75656498
3.616,47.55138383
3.617,46.41312416
3.618,45.34177696
3.619,44.29743794
3.62,43.35548427
3.621,42.51590917
3.622,41.80451114
3.623,41.12702974
3.624,40.4592003
3.625,39.81542286
3.626,39.24038094
3.627,38.74560717
3.628,38.31346695
3.629,37.783094
3.63,37.24135457
3.631,36.68824457
3.632,36.21661889
3.633,35.68652647
3.634,35.09797577
3.635,34.54780859
3.636,34.15517231
3.637,33.92912996
3.638,33.87902146
3.639,33.99961918
3.64,34.27253843
3.641,34.69003987
3.642,35.1017966
3.643,35.47891428
3.644,35.8213984
3.645,36.10391223
3.646,36.5192305
3.647,37.06734381
3.648,37.78556653
3.649,38.5988847
3.65,39.48445841
3.651,40.40693648
3.652,41.17409237
3.653,41.71269904
3.654,42.02309738
3.655,42.14299587
3.656,42.0518115
3.657,41.74957346
3.658,41.29767333
3.659,40.85075855
3.66,40.40882671
3.661,39.96911494
3.662,39.57153011
3.663,39.22721515
3.664,38.94022381
3.665,38.68878989
3.666,38.44017941
3.667,38.1943952
3.668,38.076276
3.669,38.18715091
3.67,38.52698823
3.671,39.00545668
3.672,39.53057639
3.673,40.1023444
3.674,40.72789622
3.675,41.36451363
3.676,41.99347362
3.677,42.61165663
3.678,43.1993269
3.679,43.75954416
3.68,44.29231233
3.681,44.74661388
3.682,45.09841811
3.683,45.34774013
3.684,45.48506378
3.685,45.41375091
3.686,45.12787536
3.687,44.65525971
3.688,44.15269724
3.689,43.665112
