Depth_mbrt,GR_gAPI
653,31.631294
653.2,30.5859872
653.4,37.294789
653.6,45.6701489
653.668942,54.0145985
653.8,50.8012891
654,52.2064971
654.2,48.0111846
654.4,36.210861
654.6,25.9235796
654.8,28.8589179
655,42.0492026
655.2,46.3184579
655.4,45.482613
655.6,42.7317899
655.716724,45.2554745
655.8,40.0848278
656,39.6405565
656.2,39.8269238
656.4,38.079887
656.6,37.3107986
656.8,36.051093
657,34.9754069
657.2,37.6298315
657.4,39.135899
657.6,39.4419724
657.8,39.2809186
658,35.1945581
658.2,33.9900374
658.4,33.3621376
658.6,42.6142691
658.8,49.5433461
659,40.8649962
659.2,34.7523742
659.4,35.2434986
659.6,37.5515708
659.8,38.8688087
660,47.0851024
660.2,45.9274488
660.4,43.6382124
660.6,43.7316378
660.8,46.4217204
661,46.8578669
661.2,51.2363438
661.4,51.9809354
661.6,48.9249877
661.8,38.6105118
662,37.4470913
662.2,37.17327
662.4,31.7520884
662.6,42.2901828
662.8,57.324805
663,53.9927781
663.2,47.0009765
663.4,45.5439811
663.6,37.7337679
663.8,28.8348094
664,35.3663574
664.2,40.3804775
664.4,38.0840735
664.6,34.1066837
664.8,30.7367366
664.931741,26.2773723
665,30.7062642
665.2,41.9618573
665.4,43.3446723
665.6,43.4831244
665.8,48.3721275
666,48.8257224
666.2,45.2978003
666.4,47.8561063
666.6,49.0942215
666.8,48.1945616
667,42.251921
667.2,32.6014232
667.4,30.1475155
667.6,36.9603741
667.8,43.8765652
668,41.3516425
668.2,36.1805366
668.4,37.1406859
668.6,41.2431207
668.8,49.9208829
669,45.2337633
669.2,47.5924494
669.4,51.3606014
669.6,34.4623841
669.8,25.033901
670,27.5648163
670.2,25.541791
670.4,32.497501
670.6,46.165498
670.8,42.6241441
671,35.4883309
671.2,32.59222
671.4,34.2671986
671.6,34.8918087
671.8,38.0724736
672,35.0207009
672.2,38.1579826
672.4,41.5006699
672.6,47.6348875
672.8,59.9394758
672.866894,65.6934307
673,60.5479905
673.2,43.0297584
673.4,31.1259708
673.6,28.8199175
673.8,30.732923
674,33.0951514
674.2,28.0360487
674.4,26.7192537
674.6,34.4555197
674.8,38.7994889
675,39.5313525
675.2,38.3969021
675.4,41.4843311
675.426621,36.4963504
675.6,40.789456
675.8,32.4879899
676,38.4633531
676.2,44.8923017
676.4,48.1656799
676.6,37.2763301
676.8,35.6885606
677,34.6925115
677.2,34.6943141
677.4,41.8092342
677.6,44.5051483
677.8,38.5011124
678,28.976797
678.2,26.8655122
678.4,30.0940815
678.6,35.3614391
678.8,38.8667709
679,35.6812837
679.2,35.9587027
679.4,32.5871722
679.6,36.5557393
679.8,43.2293358
680,47.7425547
680.2,48.167705
680.4,42.2767129
680.6,35.4608998
680.8,38.5734175
681,44.2482165
681.2,41.7704636
681.4,40.4899521
681.6,45.0866035
681.8,53.9797574
682,55.6524375
682.2,53.4534465
682.4,41.910937
682.6,38.9080989
682.8,43.808851
683,38.6932973
683.2,36.9047271
683.4,32.0474162
683.6,33.261662
683.8,41.5743926
684,41.9937727
684.2,44.3274941
684.4,44.8218563
684.6,42.6680066
684.8,42.318462
685,45.6314689
685.2,47.0725662
685.4,44.5600147
685.6,47.3112727
685.8,49.9048434
686,48.9683557
686.2,42.3747331
686.4,33.1755771
686.6,36.8134557
686.8,46.1439215
687,47.8262442
687.2,44.5783379
687.4,40.8060608
687.6,39.2621329
687.8,41.5069207
688,40.1077004
688.2,39.7771729
688.4,42.1589423
688.6,40.9460691
688.8,39.9018664
689,33.4286327
689.2,30.1367017
689.4,37.6511205
689.6,45.5687205
689.8,52.2249702
690,50.7352817
690.145051,56.9343066
690.2,46.3444577
690.4,39.4475816
690.6,34.8716866
690.8,47.0738954
691,44.121354
691.2,40.7679544
691.4,41.6711194
691.6,38.5743172
691.8,31.4710442
692,30.0235256
692.2,31.1518657
692.4,40.1208881
692.6,40.1669074
692.8,34.1549602
693,38.8573587
693.2,50.1112747
693.4,51.0429896
693.6,45.0811552
693.8,37.6000625
694,36.696887
694.2,38.1521502
694.4,39.3038914
694.6,40.1145272
694.8,39.0316237
695,36.9057979
695.2,40.1469144
695.4,44.6644415
695.6,42.2367798
695.8,39.4644779
696,39.3455467
696.2,45.7902979
696.4,44.9010745
696.6,47.008366
696.8,44.0551121
697,36.8275454
697.2,35.9930511
697.4,39.430939
697.6,42.1395891
697.8,43.3643868
698,43.1457846
698.2,42.5529742
698.4,41.2574521
698.6,38.8830343
698.8,40.6023226
699,45.2590836
699.2,37.7217038
699.4,26.4479078
699.6,23.6271141
699.8,31.6041812
700,39.3575764
700.2,48.81028467
700.3395586,52.42718447
700.4,49.91808262
700.6,37.37601135
700.8,29.55770964
701,33.39277687
701.2,36.0175934
701.4,37.33747719
701.6,32.8233011
701.8,31.72694769
702,45.27985888
702.2,54.77396292
702.4,50.88634631
702.6,40.75212267
702.8,45.91342484
703,38.95335417
703.2,31.25831836
703.3955857,25.24271845
703.4,29.66782603
703.6,36.75742263
703.8,38.88259018
704,36.77696209
704.2,37.91415813
704.4,34.87803122
704.6,35.19253921
704.8,36.78361091
705,38.62699102
705.2,38.1047746
705.4,38.47415383
705.6,35.33691519
705.8,36.56844171
706,36.42890384
706.2,41.45054867
706.4,41.8208711
706.6,40.12859273
706.8,34.6428614
707,34.80578331
707.2,31.5120574
707.4,31.91057177
707.6,32.88761194
707.8,33.87849876
708,40.05031253
708.2,36.17693158
708.4,35.83510432
708.6,40.9064667
708.6587436,44.66019417
708.8,37.65739893
709,36.6291422
709.2,34.75984628
709.4,34.31617089
709.6,33.22046021
709.8,38.49569739
710,35.3752323
710.2,37.48249407
710.4,40.49310018
710.6,38.06853605
710.8,32.71484572
711,32.03084842
711.2,33.32330244
711.4,38.24564453
711.6,47.60753116
711.8,46.87983485
712,48.30002721
712.2,49.574377
712.4,42.69988699
712.6,34.68835277
712.8,27.9582934
713,33.54945846
713.2,38.18128743
713.4,35.41046777
713.6,36.82994498
713.8,37.4427191
714,37.6448259
714.2,34.42270353
714.4,32.50888815
714.6,36.23430052
714.8,43.28709132
715,43.49114029
715.2,35.74947235
715.4,32.33349014
715.6,28.16886941
715.8,33.30355916
716,44.14688913
716.2,40.88720788
716.4,40.70507878
716.6,35.76849107
716.8,34.97818021
717,35.86620304
717.2,34.65039085
717.4,26.16087858
717.6,20.18752416
717.8,24.70571826
718,35.33991212
718.2,40.44012803
718.4,28.39551032
718.6,32.71454686
718.8,38.83113367
718.8455008,42.7184466
719,38.07130664
719.2,35.63619703
719.4,37.0842639
719.6,38.85257526
719.8,35.1811873
720,30.01302727
720.2,34.54212805
720.4,35.40588834
720.6,37.36313484
720.8,39.96973677
721,39.41379289
721.2,34.55372929
721.4,36.56972632
721.6,40.79115504
721.8,40.02278061
722,29.04416865
722.2,23.98549162
722.4,28.13910009
722.6,38.13892427
722.8,51.97464516
723,49.01668588
723.2,37.47374337
723.4,30.01533638
723.6,34.50845921
723.8,42.16829045
724,40.07921592
724.2,33.19253566
724.4,35.55077528
724.6,45.4405636
724.8,40.68033619
725,33.1885605
725.2,32.00581459
725.4,32.4870896
725.6,32.66056065
725.8,35.68842172
726,36.6469113
726.2,34.53179669
726.4,33.81812168
726.6,38.48494847
726.8,39.20800425
727,35.04921758
727.2,36.33600073
727.4,38.37175069
727.6,35.32427493
727.8,30.39120861
728,27.07266579
728.2,26.91001516
728.4,27.56573929
728.6,28.4283226
728.8,30.08070105
729,27.06098556
729.2,32.52843951
729.4,41.48747304
729.6,42.23227908
729.8,39.34352698
730,39.37166047
730.2,38.18952111
730.4,29.14692448
730.6,20.10386113
730.8,26.93066008
731,30.60533203
731.2,29.92095367
731.4,32.73261145
731.6,35.74421952
731.8,32.51103754
732,31.24325542
732.2,28.98881713
732.4,29.59968195
732.6,31.7495075
732.8,36.21854321
733,33.71969331
733.2,33.66289345
733.4,37.58437973
733.6,44.34041825
733.8,43.61142299
734,35.69053439
734.2,30.02448972
734.4,29.54044848
734.6,34.16891408
734.8,48.35968425
735,48.67848801
735.2,39.94065509
735.4,37.39312674
735.6,34.5460247
735.8,35.61063827
736,34.58335551
736.2,32.81857009
736.4,34.49762266
736.6,37.71416358
736.8,33.09257735
737,32.80719294
737.2,34.23051629
737.4,34.9057662
737.6,36.82363051
737.8,39.25788771
738,34.18156069
738.2,30.82979231
738.4,28.55549573
738.6,37.38989311
738.8,48.74805442
739,47.61635117
739.2,41.48766197
739.4,41.53324083
739.6,34.70843693
739.8,30.84796874
740,30.94356644
740.2,31.22088838
740.4,29.51788262
740.6,33.79105103
740.8,36.54381517
741,34.10251599
741.2,34.1698337
741.4,33.00307644
741.6,27.72505981
741.8,33.81283442
742,34.1034094
742.2,27.55135364
742.4,28.52063477
742.6,32.26690401
742.8,41.89426442
743,45.8243364
743.2,36.35015531
743.4,26.65510251
743.6,27.65143874
743.8,26.93001944
744,27.38751682
744.2,33.82932101
744.4,40.28323068
744.6,37.46736403
744.8,38.43533688
745,43.38762355
745.2,40.13038312
745.4,36.2501062
745.6,37.51215639
745.8,35.72813771
746,32.01955554
746.2,28.16890179
746.4,34.05275631
746.6,40.24325242
746.8,31.82128052
747,28.4013031
747.2,30.98450779
747.4,40.25388005
747.6,43.53394444
747.8,39.35031709
748,35.2948456
748.2,40.07177367
748.4,39.05616108
748.6,32.16375095
748.8,28.39359986
749,32.73388726
749.2,31.07912447
749.4,29.40428401
749.6,30.97955733
749.8,39.54070026
750,39.29701977
750.2,33.69712987
750.4,31.61856676
750.6,29.9792047
750.8,30.86774097
751,33.29328385
751.2,41.12831645
751.4,43.10282119
751.6,39.29254012
751.8,38.967831
752,41.37982298
752.2,39.04283968
752.4,29.84409598
752.6,27.28642032
752.8,30.27303046
753,28.49187775
753.2,29.1775584
753.4,34.04778512
753.6,32.27230899
753.8,27.00448567
754,30.37812056
754.2,30.33927309
754.4,27.82673308
754.6,33.07094577
754.8,33.87193684
755,33.1087897
755.2,29.60225266
755.4,29.10571816
755.6,24.73114418
755.8,19.72148066
756,26.45990456
756.2,29.29460954
