Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-6,58-60",240.28,15.994,E+T+0.2P,Holbourn et al. 2024,1.42,1.46,CMUND,Holbourn et al. 2024,1.42,2.1,d18O +0.64‰; d13C +0.00‰,1.22,2.2,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,62-64",240.32,15.998,E+T+0.2P,Holbourn et al. 2024,1.78,1.12,CMUND,Holbourn et al. 2024,1.78,1.76,d18O +0.64‰; d13C +0.00‰,1.58,1.86,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,66-68",240.36,16.002,E+T+0.2P,Holbourn et al. 2024,1.74,1.31,CMUND,Holbourn et al. 2024,1.74,1.95,d18O +0.64‰; d13C +0.00‰,1.54,2.05,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,70-72",240.4,16.006,E+T+0.2P,Holbourn et al. 2024,1.58,1.22,CMUND,Holbourn et al. 2024,1.58,1.86,d18O +0.64‰; d13C +0.00‰,1.38,1.96,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,74-76",240.44,16.01,E+T+0.2P,Holbourn et al. 2024,1.55,1,CMUND,Holbourn et al. 2024,1.55,1.64,d18O +0.64‰; d13C +0.00‰,1.35,1.74,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,78-80",240.48,16.012,E+T+0.2P,Holbourn et al. 2024,1.8,1.8,CMUND,Holbourn et al. 2024,1.8,2.44,d18O +0.64‰; d13C +0.00‰,1.6,2.54,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,82-84",240.52,16.015,E+T+0.2P,Holbourn et al. 2024,1.69,1.68,NUMB,Holbourn et al. 2024,1.69,2.32,d18O +0.64‰; d13C +0.00‰,1.49,2.42,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,86-88",240.56,16.017,E+T+0.2P,Holbourn et al. 2024,1.73,1.66,CMUND,Holbourn et al. 2024,1.73,2.3,d18O +0.64‰; d13C +0.00‰,1.53,2.4,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,90-92",240.6,16.02,E+T+0.2P,Holbourn et al. 2024,1.75,1.49,CMUND,Holbourn et al. 2024,1.75,2.13,d18O +0.64‰; d13C +0.00‰,1.55,2.23,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,94-96",240.64,16.022,E+T+0.2P,Holbourn et al. 2024,1.78,1.61,CMUND,Holbourn et al. 2024,1.78,2.25,d18O +0.64‰; d13C +0.00‰,1.58,2.35,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,98-100",240.68,16.025,E+T+0.2P,Holbourn et al. 2024,1.62,1.25,CMUND,Holbourn et al. 2024,1.62,1.89,d18O +0.64‰; d13C +0.00‰,1.42,1.99,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,102-104",240.72,16.027,E+T+0.2P,Holbourn et al. 2024,1.75,1.58,CMUND,Holbourn et al. 2024,1.75,2.22,d18O +0.64‰; d13C +0.00‰,1.55,2.32,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,106-108",240.76,16.03,E+T+0.2P,Holbourn et al. 2024,1.74,1.41,CMUND,Holbourn et al. 2024,1.74,2.05,d18O +0.64‰; d13C +0.00‰,1.54,2.15,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,110-112",240.8,16.032,E+T+0.2P,Holbourn et al. 2024,1.81,1.55,CMUND,Holbourn et al. 2024,1.81,2.19,d18O +0.64‰; d13C +0.00‰,1.61,2.29,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,114-116",240.84,16.035,E+T+0.2P,Holbourn et al. 2024,1.81,1.56,CMUND,Holbourn et al. 2024,1.81,2.2,d18O +0.64‰; d13C +0.00‰,1.61,2.3,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,118-120",240.88,16.037,E+T+0.2P,Holbourn et al. 2024,1.8,1.43,CMUND,Holbourn et al. 2024,1.8,2.07,d18O +0.64‰; d13C +0.00‰,1.6,2.17,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,122-124",240.92,16.039,E+T+0.2P,Holbourn et al. 2024,1.75,1.41,CMUND,Holbourn et al. 2024,1.75,2.05,d18O +0.64‰; d13C +0.00‰,1.55,2.15,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,126-128",240.96,16.042,E+T+0.2P,Holbourn et al. 2024,1.74,1.44,CMUND,Holbourn et al. 2024,1.74,2.08,d18O +0.64‰; d13C +0.00‰,1.54,2.18,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,130-132",241,16.044,E+T+0.2P,Holbourn et al. 2024,1.67,1.33,CMUND,Holbourn et al. 2024,1.67,1.97,d18O +0.64‰; d13C +0.00‰,1.47,2.07,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,134-136",241.04,16.047,E+T+0.2P,Holbourn et al. 2024,1.71,1.38,CMUND,Holbourn et al. 2024,1.71,2.02,d18O +0.64‰; d13C +0.00‰,1.51,2.12,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,138-140",241.08,16.049,E+T+0.2P,Holbourn et al. 2024,1.66,1.38,CMUND,Holbourn et al. 2024,1.66,2.02,d18O +0.64‰; d13C +0.00‰,1.46,2.12,d18O +0.10‰; d13C -0.20‰,,
