AGE(ka),GR(gAPI)
976.2737703,18.36142173
977.6728366,18.24469885
979.0719029,17.06195722
980.4709692,15.2628
981.8700355,13.74540675
983.2691018,14.94155115
984.6681681,15.73952213
986.0672344,15.21461255
987.4663007,15.99260903
988.8653669,16.54276654
990.2644332,15.76629654
991.6634995,15.09312514
993.0625658,14.97984291
994.4616321,15.7754937
995.8606984,16.70897816
997.2597647,16.63741346
998.658831,16.08708352
1000.057897,16.70144399
1001.456964,18.38989543
1002.85603,18.41040094
1004.255096,16.37110136
1005.654162,15.44587307
1007.053229,16.46498971
1008.452295,17.87849593
1009.851361,18.64180992
1011.250428,18.69313654
1012.649494,19.37430465
1014.04856,19.34800346
1015.447627,19.13258331
1016.846693,20.01301094
1018.245759,20.45471016
1019.644825,19.13783236
1021.043892,17.78882564
1022.442958,17.51932764
1023.842024,17.11254811
1025.241091,15.65837598
1026.640157,15.04548071
1028.039223,16.41113499
1029.438289,17.31965572
1030.837356,17.43556543
1032.236422,17.86750423
1033.635488,18.51953467
1035.034555,18.97358685
1036.433621,19.47792239
1037.832687,18.68201735
1039.231754,17.32149189
1040.63082,18.4204563
1042.029886,19.09054549
1043.428952,17.80061748
1044.828019,17.35710252
1046.227085,18.79810693
1047.626151,18.92708299
1049.025218,17.96152874
1050.424284,17.88168294
1051.82335,17.71282425
1053.222416,17.50123181
1054.621483,18.10824021
1056.020549,19.44788378
1057.419615,20.06326916
1058.818682,18.38358331
1060.217748,17.51756
1061.616814,17.17442585
1063.01588,17.02770675
1064.414947,17.59383142
1065.814013,18.22628446
1067.213079,17.82141417
1068.612146,16.69603087
1070.011212,15.80412058
1071.410278,16.7627606
1072.809345,17.17641835
1074.208411,16.9702373
1075.607477,17.55853436
1077.006543,17.17581205
1078.40561,17.13166654
1079.804676,17.88847375
1081.203742,17.86338157
1082.602809,18.10760808
1084.001875,18.00507315
1085.400941,19.27534402
1086.800007,19.19909315
1088.199074,17.97562218
1089.59814,18.48119976
1090.997206,20.09058189
1092.396273,21.80200068
1093.795339,22.24856409
1095.194405,21.02121491
1096.593472,19.66390121
1097.992538,19.39393425
1099.391604,19.93186433
1100.79067,19.55502297
1102.189737,19.20777268
1103.588803,19.86697858
1104.987869,19.04494572
1106.386936,18.50658811
1107.786002,19.08006066
1109.185068,17.81416144
1110.584134,16.34784425
1111.983201,16.3149237
1113.382267,16.62565798
1114.781333,16.31360417
1116.1804,16.63185856
1117.579466,16.65062769
1118.978532,18.88565638
1120.377599,20.79983966
1121.776665,20.43338066
1123.175731,18.29409441
1124.574797,18.46769711
1125.973864,18.50669008
1127.37293,17.59799268
1128.771996,17.30495291
1130.171063,17.42038178
1131.570129,16.9242674
1132.969195,16.39097081
1134.368261,17.12680619
1135.767328,18.85288677
1137.166394,20.29143795
1138.56546,20.85515966
1139.964527,21.35255583
1141.363593,20.40744428
1142.762659,20.41043089
1144.161725,20.67746945
1145.560792,22.13740772
1146.959858,23.0407878
1148.358924,22.56402591
1149.757991,22.04741793
1151.157057,23.00913472
1152.556123,24.23868677
1153.95519,23.71298887
1155.354256,21.88577299
1156.753322,23.02112417
1158.152388,23.18874333
1159.551455,21.55171743
1160.950521,21.31000087
1162.349587,20.37212738
1163.748654,20.97001898
1165.14772,20.98413669
1166.546786,19.98049528
1167.945852,19.34178268
1169.344919,20.11426205
1170.743985,19.9472852
1172.143051,21.65434446
1173.542118,22.71286433
1174.941184,22.15382937
1176.34025,21.74324286
1177.739317,20.97560543
1179.138383,20.97200029
1180.537449,20.64000189
1181.936515,19.54913543
1183.335582,18.56751055
1184.734648,18.56540026
1186.133714,17.84743039
1187.532781,17.03735806
1188.931847,17.45866869
1190.330913,18.22850858
1191.729979,18.83951609
1193.129046,18.8678406
1194.528112,18.60647315
1195.927178,19.45321538
1197.326245,19.95264375
1198.725311,18.70064071
1200.124377,16.51838052
1201.523444,15.17757724
1202.92251,14.65948213
1204.321576,14.20826291
1205.720642,14.14021278
1207.119709,14.85084354
1208.518775,17.14776937
1209.917841,21.45864882
1211.316908,26.22784189
1212.715974,29.5236795
1214.11504,31.00651084
1215.514106,31.19723787
1216.913173,29.88759068
1218.312239,25.63491906
1219.711305,23.34150236
1221.110372,22.16443018
1222.509438,21.13921984
1223.908504,20.33210299
1225.30757,20.06899974
1226.706637,20.36226063
1228.105703,20.15705299
1229.504769,19.41287696
1230.903836,18.5191222
1232.302902,17.85237827
1233.701968,17.80040709
1235.101035,18.40189045
1236.500101,19.21172614
1237.899167,19.27503811
1239.298233,17.99642756
1240.6973,17.28231756
1242.096366,17.51154709
1243.495432,17.00924115
1244.894499,15.78070449
1246.293565,15.71687535
1247.692631,16.71315488
1249.091697,20.14061535
1250.490764,20.52450522
1251.88983,19.3012394
1253.288896,18.26904386
1254.687963,18.62206727
1256.087029,20.64391609
1257.486095,21.92689378
1258.885162,21.8314585
1260.284228,22.60369677
1261.683294,22.03413976
1263.08236,21.61896753
1264.481427,18.97492911
1265.880493,17.27438197
1267.279559,16.9664584
1268.678626,18.14315604
1270.077692,19.06242575
1271.476758,19.0138415
1272.875824,19.3660678
1274.274891,18.91134142
1275.673957,18.10254961
1277.073023,18.3409452
1278.47209,19.98879953
1279.871156,20.60221318
1281.270222,19.29255958
1282.669289,18.60622472
1284.068355,18.18037496
1285.467421,17.97667906
1286.866487,19.28436992
1288.265554,20.7169547
1289.66462,19.99448698
1291.063686,18.58090252
1292.462753,18.52100289
1293.861819,19.76682601
1295.260885,20.37748724
1296.659951,20.47365837
1298.059018,20.76200467
1299.458084,20.37235339
1300.85715,20.10914341
1302.256217,20.8749764
1303.655283,20.95008173
1305.054349,21.56305591
1306.453415,21.58173097
1307.852482,19.96923165
1309.251548,19.40428047
1310.650614,19.89190577
1312.049681,21.11853079
1313.448747,21.89270927
1314.847813,20.42407197
1316.24688,18.48813732
1317.645946,18.58646942
1319.045012,20.47458079
1320.444078,21.39245606
1321.843145,20.98670906
1323.242211,21.68505724
1324.641277,22.5321352
1326.040344,22.25400522
1327.43941,22.23918698
1328.838476,22.09991953
1330.237542,22.53394016
